Domain;Vertical;AF_Lev_1;AF_Lev_2;Function_Name;Function_ID;Description;UID
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Repository Entity Relations Configuration;3;Repository Entity Relations Configuration manages hierarchical, inheritance and reuse relations between catalog entities. Re-usability is a major requirement for management of a catalog. Re-usability is achieved through inheritance and through the re-use of standalone entities as well as entity hierarchies.;2225
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Repository Entity Grouping Configuration;4;Repository Entity Grouping Configuration defines the grouping of catalog entities. A catalog user needs flexibility and openness in configuring data catalog entities. One of the configuration options that enable high re-usability is the possibility to group entities and re-use the group level.;2226
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Repository Entity Data Model Configuration;6;Repository Entity Data Model Configuration enables the catalog to provide the capability to have a flexible data model with the ability to structure entities and attributes as desired by the user and to extend the model according to the requirements.;2228
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Repository Entity Hierarchy Management;11;Repository Entity Hierarchy Management manages rules that governs the relationships between entities in different layers. A catalog that manages different layers needs to maintain the rules within the layer and between the layers. For example, how product definition translate corresponds to different services provisioning rules, and so on.;2233
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Repository Entity Revision Control;13;Repository Entity Revision Control provides a work environment that permits users to work in parallel without interfering with each others efforts, to manage the relevant permissions on the data or on activity level, and to support the different user interfaces required.;2235
Shared Domain;Fulfillment;Fallout Management;Fallout Correction Management;Fallout Automated Correction;16;Fallout Automated Correction function tries to automatically fix fallouts in workflows before they go to a human for handling. This includes a Fallout Rules Engine that provides the capability to handling various errors or error types based on built rules. These rules can facilitate auto correction, correction assistance, placement of errors in the appropriate queues for manual handling, as well as access to various systems.;2238
Shared Domain;Fulfillment;Fallout Management;Fallout Correction Management;Fallout Correction Information Collection;17;Fallout Correction Information Collection collects relevant information for errors or situations that cannot be handled via Fallout Auto Correction. The intent is to reduce the time required by the technician in diagnosing and fixing the fallout.;2239
Shared Domain;Fulfillment;Fallout Management;Fallout Repository Management;Fallout Management to Fulfillment Application Accessing;18;Fallout Management to Fulfillment Application Accessing function provides a variety of tools to facilitate Fallout Management access to other applications and repositories to facilitate proper Fallout Management. This can include various general access techniques such as messaging, publish and subscribe, etc. as well as specific APIs and contracts to perform specific queries or updates to various applications or repositories within the fulfillment domain.;2240
Shared Domain;Fulfillment;Fallout Management;Fallout Correction Management;Fallout Manual Correction Queuing;19;Fallout Manual Correction Queuing function provides the required functionality to place error fallout into appropriate queues to be handled via various staff or workgroups assigned to handle or fix the various types of fallout that occurs during the fulfillment process. This includes the ability to create and configure queues, route errors to the appropriate queues, as well as the ability for staff to access and address the various fallout instances within the queues.;2241
Shared Domain;Fulfillment;Fallout Management;Fallout Repository Management;Fallout Notification;20;Fallout Notification function provides the means to alert people or workgroups of some fallout situation. This can be done via a number of means, including email, paging, (Fallout management interface bus) etc. This function is done via business rules.;2242
Shared Domain;Fulfillment;Fallout Management;Fallout Correction Management;Fallout Orchestration;21;The Fallout Orchestration function provides workflow and orchestration capability across Fallout Management.;2243
Shared Domain;Fulfillment;Fallout Management;Fallout Repository Management;Fallout Reporting;22;Fallout Reporting provides various reports regarding Fallout Management, including statistics on fallout per various times periods (per hour, week, month, etc) as well as information about specific fallout.;2244
Shared Domain;Fulfillment;Fallout Management;Fallout Repository Management;Fallout Dashboard System Log-in Accessing;23;Fallout Dashboard System Log-in Accessing provides auto logon capability into various applications needed to analyze and fix fallout.;2245
Shared Domain;Fulfillment;Fallout Management;Fallout Correction Management;Pre-populated Fallout Information Presentation;24;Pre-populated Fallout Information Presentation automatically position the analyzer on appropriate screens pre-populated with information about the order(s) that's subject for fallout handling.;2246
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Digital Identity Management;Anonymous User Account Creation;260;Anonymous User Account Creation provides account creation for anonymous user account, either through external customer self empowered fulfillment function or internal customer support access.;2481
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Archive Administration;305;Archive Administration provides archive maintenance and administrative functions. Typical documents are stored online for short periods. Maintenance implies offloading to external storage depending on retention periods.;2526
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Archiving Data Storage;306;Archiving Data Storage provides document archive compression and storage of transactional document data.;2527
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Archived Data Retrieval;307;Archived Data Retrieval provides retrieval mechanisms for external systems. External systems can be customer care, self care or offline storage systems.;2528
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Delivering;308;Transactional Document Delivering makes transactional documents available via paper, CD-ROM, DVD, EDI, electronic, etc, as specified by the customer.;2529
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Bills and Letter Template Creation;330;Bills and Letter Template Creation develops and maintains the bill or letter template.;2551
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Rules for Input to Template Binding Configuration;331;Transactional Document Rules for Input to Template Binding Configuration defines the binding rules between the input data and the template format.;2552
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Input Data Sourcing Configuration;332;Transactional Document Input Data Sourcing Configuration defines the data input source specification for run time production.;2553
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Template Resource Configuration;333;Transactional Document Template Resource Configuration defines and maintains resources (font, colors, images and language) for the template.;2554
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Template Usage Business Rules Configuration;334;Transactional Document Template Usage Business Rules Configuration provides development and maintenance of business rules for the transactional document template usage.;2555
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Multiple Account Aggregation;335;Transactional Document Multiple Account Aggregation aggregates multiple accounts, and generates an appropriate invoice/billing statement (if a billing statement).;2556
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Regional Requirements Appliance;336;Transactional Document Regional Requirements Appliance applies tax id numbers and other legally mandated information in accordance with region specific requirements.;2557
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Information Formatting;337;Formats document information in the customer selected or default format.;2558
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Legend Generation;338;Transactional Document Legend Generation generates and formats section legends (summary, call detail, etc.) based on regulatory requirements.;2559
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Marketing Information Incorporation;339;Transactional Document Marketing Information Incorporation incorporates marketing messages in the transactional documents.;2560
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Document Management;Transactional Document Data Sending;340;Transactional Document Data Sending sends data to downstream interfaces, for transactional documents generation for such as finance, warehouse, etc.;2561
Shared Domain;Business Value Development;Privacy Development;Privacy Definition  Management;Privacy Profile Type Creation;664;"Privacy Profile Type Creation provides a privacy dashboard function to define and create the individual privacy profile types by categorizing the Data Subject Parties,  defining the elements of the Privacy for the Privacy Profile Type, both initial and additional for future evolution.
Note: Profiles Type are defined according to the Country Privacy Authority such as National Protective Security Authority (NPSA) for UK.";2883
Shared Domain;Business Value Development;Privacy Development;Privacy Definition  Management;Privacy Profile Rules Configuration;665;"Privacy Profile Rules Configuration provides a Privacy Dashboard function to define default and updated values for the individual Privacy Profile including the values for the Privacy Rules, and the default Privacy Profile for each Privacy Profile Type.
Note: Profiles Rules are defined according to the Country Privacy Authority such as National Protective Security Authority (NPSA) for UK.";2884
Shared Domain;Operations Readiness & Support;Privacy Management;Privacy Repository Management;Privacy Data Browsing Access;666;"Privacy Data Browsing Access provides a Privacy Dashboard access to Privacy Data Browsing used to provide the ""Data Subject Party"" the ability to view the current privacy profile attributes, of the Privacy Profile, both associated default values of rules defined, and the current values of rules.";2885
Shared Domain;Operations Readiness & Support;Privacy Management;Privacy Repository Management;Privacy Data Updating Access;667;Privacy Data Updating Access provides a Privacy Dashboard function that provides an access possibility for the Party to alter the Privacy Profile, with authorized values.;2886
Shared Domain;Operations Readiness & Support;Privacy Management;Privacy Repository Management;Privacy Consent Agreement Obtaining;668;"Privacy Consent Agreement Obtaining function is used to obtain consent from the ""Data Subject Party"" at the time of a change to the Privacy Profile. This can be initiated by the ""Data Subject Party"" at creation of new usage, or by the Service when delivering a new scenario.";2887
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Intelligence Guided Searching;690;Business Intelligence Guided Searching provide a function for Guided Searching in business information databases to gather relevant data for manual or automated analysis.;2888
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Intelligence Interactive Analyzing;691;"Business Intelligence Interactive Analyzing is a Business Intelligence analytic function used for mathematical and statistical analysis of data - calculating correlations, trends, and patterns using complex algorithms and modeling to support Operational Decision Support Systems. Supporting interactive analysis of business data, On-line over e.g. a web-client. The analysis function is often guided or using complex algorithms. E.g OLAP and Data Mining.
Information includes, but is not limited to:

	on market: knowledge of the market shares by region with general trends, potentials in volume, in CA
	on customer and consumer expectations and motivations, new modes of consumption, calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration)
	on distribution: general trends, new distribution channel
	on competition: anticipate the competition strategy by analysis of the market shares and competition and evolution assumptions, positioning, target.
	for environment: politic, economic (cartography of the geo-merchandising zones), technologic, ecological, legislative
	on Company Performances: turnover evolution, profitability, financial means
	for customers: enterprise image &amp; fame, qualification of the customers (loyalty, satisfaction, contact mode, frequency, income, purchasing power, equipment), purchase behavior
	market shares by region: penetration rates of the offers by region, number of eligible lines by region.
";2889
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Operational Trend Analyzing;693;"Business Operational Trend Analyzing provides functions used for mathematical and statistical analysis of data - calculating correlations, trends, and patterns using complex algorithms and modeling to support Predictive Analytics.
Information includes, but is not limited to:

	on market: knowledge of the market shares by region with general trends, potentials in volume, in CA
	on customer and consumer expectations and motivations, new modes of consumption, calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration)
	on distribution: general trends, new distribution channel
	on competition: anticipate the competition strategy by analysis of the market shares and competition and evolution assumptions, positioning, target.
	for environment: politic, economic (cartography of the geo-merchandising zones), technologic, ecological, legislative
	on Company Performances: turnover evolution, profitability, financial means
	for customers: enterprise image &amp; fame, qualification of the customers (loyalty, satisfaction, contact mode, frequency, income, purchasing power, equipment), purchase behavior
	market shares by region: penetration rates of the offers by region, number of eligible lines by region.
";2891
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Operational Statistics Analyzing;694;"Business Operational Statistics Analyzing provides functions used for mathematical and statistical analysis of data. Information includes, but is not limited to:

	on market: knowledge of the market shares by region with general trends, potentials in volume, in CA
	on customer and consumer calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration)
	on distribution: general trends
	on competition: analysis of the market shares, positioning, target
	on Company Performances: turnover evolution, profitability, financial means
	market shares by region: penetration rates of the offers by region, number of eligible lines by region.
";2892
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Intelligence User Integration;696;Business Intelligence User Integration provides integration between business intelligence functions to Customer Facing Business Intelligence Office Suites User Interfaces and/or Desktop Gadgets consisting of technologies utilized to present information in the format requested and through the desired user interface. E.g. Dashboards.;2894
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Intelligence Offline Document Delivering;697;Business Intelligence Offline Document Delivering consists of the technologies utilized to present information to BI users in the format requested to be used when disconnected. E.g. Alert and Collect, Pre-formatted Reports, File formats.;2895
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Metrics/KPIs Rules Evaluation;700;Business Metrics/KPIs Rules Evaluation provides the evaluation of Business Intelligence performance Metrics/KPIs. Performance data is aggregated in the Analytics functions, but business rules for Metrics and KPIs are applied in this function.;2898
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Operational Follow-up Planning;701;Business Operational Follow-up Planning function follows up the performance of business processes or physical resources such as network components or IT servers and services have different technologies for measurement. The performance follow-up may differ depending on criterions.;2899
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Operational Strategy Management Planning;703;Business Operational Strategy Management Planning provides planning, follow up and business rules evaluation. Performance data is aggregated in the Analytics functions, but business rules are applied in this function.;2901
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Operational Analytics Result Presentation;704;Business Operational Analytics Result Presentation function present Analytics, Metrics, KPI, Search etc. data graphically.;2902
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Business Intelligence Analysis Result Notification;705;Business Intelligence Analysis Result Notification assist the delivery functions by sending alerts to Customers/Users about new or changed Analytics, Metrics, KPI etc. data according to requested criteria.;2903
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Records Management;Content Management Data Versioning;709;Content Management Data Versioning provides Business Intelligence Content Artifact Version Control managing the official versioning of BI material that needs to be formally version controlled because of e.g. quality or legal reasons.;2907
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Records Management;Content Management Archiving;710;Content Management Archiving provides Business Intelligence Content Artifact Lifecycle Management and keeps track of the aging of the Business Intelligence information and artifacts. All information has a best-before date that differs from context to context, but to use the data in a relevant way there might be cleanup functions or warning functions for outdated data.;2908
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Records Management;eLearning Interactive Lecturing;711;eLearning Interactive Lecturing is an eLearning function where the student follows a training course in interactive way with queries and answers or tests and answers to encourage learning.;2909
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Records Management;eLearning Course Administration;712;eLearning Course Administration is the function for eLearning sites where the participation is fully automated. The eLearning Administration lists available trainings and students can book and run a training.;2910
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Records Management;Content Management Data Composing;713;Content Management Data Composing provides Business Intelligence Support of Master Data changes and history to be combined with other BI data for reports etc.;2911
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Records Management;Content Management Meta-Data Support;714;"Content Management Meta-Data Support provides BI Metadata Management of e.g.
- Technical Metadata that describes the physical objects like Tables, fields, indexes, sources, transformations etc.
- Business Metadata that describes the content's facts, dimensions, Logical relationships etc.
- Process Metadata describes the operations executed on the BI warehouse data and the results.";2912
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Permission Control;Building Access Control;897;Building Access Control checks, stops or allow physical access to facilities according to access roles and rules.;3220
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Roles & Permission Definition;Application Security Management;898;Application Security Management administrates the roles and rules that applies to getting the right to use an application.;3221
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Identification and Authentication;Single Sign-On Access Control;899;Single Sign-On Access Control grants access in cooperation with central Authentication and Authorization functions to secure the most updated security.;3222
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Permission Control;Authorization Control;900;"Authorization Control Function controls permissions according to roles and related rules.
It consists in evaluating if a requester is granted the permission to act by providing the required evidence. The evidence corresponds to the condition specified for each right (for instance keying the correct password to use a specific mailbox). If the action is protected via a right which is assigned (possibly via a role) to a person then the person has to be identified to retrieve their rights and verify if the request to act can be granted.";3223
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Identification and Authentication;PKI and Digital Certificates Systems Integration;906;PKI and Digital Certificates Systems Integration provides integration to Public Key Infrastructure Systems that provides digital certificates, and the support to use public keys and digital certificates.;3229
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Structure Definition;Data Architecture Management;909;The BI framework function for Developing and maintaining data architectures.;3232
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Structure Definition;Data Procedures and Practices Management;910;The BI framework function for development and maintenance of the practices and procedures dealing with data.;3233
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Management Data Storage;911;The Data Management framework function for Data Storage.;3234
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Management Data Retrieval;914;Management Data Retrieval provides services to extract enterprise data from multiple Target Databases.;3237
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Management Data Integration Access;917;Management Data Integration Access provides access to integration services for data management to Data Dictionaries.;3240
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Content Repository Management;Content Management Authoring Support;920;Content Management Authoring Support supports to collaboratively create or enhance content and implement it via a review and testing process.;3243
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Content Repository Management;Content Management Data Compilation;921;Content Management Data Compilation is used to compile content into physical formats needed for on-line tools that support work center personnel by serving content as part of a scripted dialog with a customer.;3244
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Content Repository Management;Content Management Data Acquisition Integration;922;Content Management Data Acquisition Integration provides a tool for acquiring content or migrating content to/from repositories through integration with security, pub/sub brokers, application APIs and traditional interfaces.;3245
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management,Shared Domain,Business Value Development;Content Management;Content Repository Management;Content Management Data Access;925;Content Management Data Access function includes Search engines with Filters etc. used to search through content and find specific instances based on a particular context or search parameter;3248
Shared Domain;Operations Readiness & Support;Privacy Management;Privacy Control;Record Retention Management;945;"Record Retention Management of data and information monitor and assures compliance with the retention aspects of federal and state laws,
legal requirements and expectations as well as the enterprise policies and procedures.";3267
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Project Management;Project Planning;Project Planning;947;Project Management Tool for project resource, time and budget planning.;3269
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Project Management;Project Repository Management;Project Follow-up Management;948;Project Follow-up Management provides tools for follow up of project resources, time plans and budget utilization.;3270
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Project Management;Project Repository Management;Project Reporting;949;Project Management Tool for reporting of project progress and follow up results.;3271
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Entity Management Notification;992;Entity Management Notification provides notifications after Entity Management actions to associated applications or application functions.;3329
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Entity Management Reporting;993;Entity Management Reporting reports to users or applications with defined and formatted content, scheduled on-demand or subscribed.;3330
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Storage Management;1010;Data Storage Management function manages the data storing applications to allow preventive and corrective maintenance, performance control and configuration needed for use of the data store functions. All management events are logged for auditing purposes.;3351
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Structure Definition;Data Store Content Structure Configuration;1011;Data Store Content Structure Configuration manages the data store structures including meta modeling and lifecycle management to make it ready for future use. All management events are logged for auditing purposes.;3352
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Entity Lifecycle Management;1013;Data Entity Lifecycle Management function creates and manages data entities lifecycle in accordance to compliance and policy guidelines. The activities are logged according to the compliance and policies for the specific data types.;3354
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Entity Access;1014;Data Entity Access provides reading and updating data including transformation and formatting from/to Data Store formats. The activities are logged according to the compliance and policies.;3355
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Entity Archiving;1015;Data Entity Archiving archives data or data entities on demand or automatically or periodically according to configured archival scheduling. The archival activities are logged according to the compliance and policies, e.g. encryption rules etc.;3356
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Management Interface Access;1016;"Data Management Interface Access provides access interfaces to read and update stored data, individually or in bulk format. Access to data is controlled by authorization, compliance and privacy policies.
Interfaces for High performance, high security and high availability to dedicated data management applications.";3357
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Distribution;1017;Distribution function that push data according to configured subscriptions of data in requested formats, etc.;3358
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Distribution Configuration;1018;Configuration of subscription and formatting for the Data Access and Data Distribution function.;3359
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Structure Definition;Data Compliance and Policy Configuration;1019;Configuration function to define Data Compliance and Policy Rules and guidelines for e.g. authorization groups, data types etc. Configuration changes are logged for auditing;3360
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Structure Definition;Data Compliance and Policy Distribution;1020;Data Compliance and Policy Distribution provides distribution of compliance and policy rules and guidelines to Data Management functions on request, at change or periodically.;3361
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Compliance and Policy Management Access;1021;Compliance and Policy Management Access provides interfaces with authentication and authorization control for configuration, distribution and log reporting.;3362
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Transformation;1022;Data Transformation function provides transformation functions to transform data according to standard or configured transformation algorithms (e.g. number to alphanumeric) internally or requesting transformation externally. This includes encryption/decryption and logging according to compliance guidelines.;3363
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Data Formatting;1023;Data Formatting function that reformats data according to pre-configured formatting algorithms.;3364
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Master Data Management;Data Repository Management;Transformation and Formatting Configuration;1024;Transformation and Formatting Configuration function configures the possible transformation and formatting algorithms to be used.;3365
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Identification and Authentication;Application Access;1025;Application Access provide access interfaces with authentication and authorization control for the requests and responses related to the applications functionality, including event logging and usage statistics.;3366
Shared Domain;Operations Readiness & Support,Business Value Development,Strategy Management,Capability Management,Billing,Fulfillment,Assurance;Data Analytics;Business Intelligence;Environment Creator;1398;"Simulation Environment Creator function is responsible for generating the environment in which the simulation will take place. It can involve creating replicas or digital twins of physical characters, operating conditions, or any other environmental factors.
    - Input: Parameters defining the type and characteristics of the environment to be created.
    - Output: A virtual environment or digital twin of the environment for simulations.";4047
Shared Domain;Fulfillment;Fallout Management;Fallout Correction Management;Fallout Rule Based Error Correction;756;Fallout Rule Based Error Correction function provides the capability to handle various errors or error types based on pre-defined rules. These rules can facilitate auto correction.;4081
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Role and Permission Assignment / Configuration;Party Role Assignment;1181;Party Role Assignment Function consists in assigning a party role to a person according to a type of role such as Customer or Payer. Sometimes a party role might be not played by a Party when unknown. For example, we might not know the Party that uses a mail box.;4107
Shared Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Identification and Permission Management;Role and Permission Assignment / Configuration;Permission Perimeter Configuration;1182;"Permission Perimeter Configuration Function consists in specifying on which perimeter the permission carried by the Party Role applies on. A perimeter defines:

	either an object or a set of objects such as a Product, a Billing Account, etc.
	or using selection criteria to identify objects on which permission applies such as geographical area where the Distributor has right to sell.
";4108
Integration Domain;Operations Readiness & Support;Business Requirements, Process & Rules Management;Business Rules Management;Business Rules Creation;1329;Business Rules Creation function provides the means to capture and validate the business rule definitions associated with one or more project or effort. This includes decision and dependency logic, along with the actions to be taken based on variety of scenarios.;2120
Integration Domain;Operations Readiness & Support;Business Requirements, Process & Rules Management;Business Rules Management;Business Rules Storage;1330;Business Rules Storage function provides a repository to store business rule definitions to enhance rules management and enable reuse.;2121
Integration Domain;Operations Readiness & Support;Business Requirements, Process & Rules Management;Business Rules Management;Business Rules Version Control;1331;Business Rules Version Control function provides the means to keep track of updates to business rules, including the means to check in, check out, access, revert, etc. It also provides the capability to interpret changes to existing business rules, identify the impact, and take appropriate action to reflect the changes in subsequent implementations.;2122
Integration Domain;Operations Readiness & Support;Business Requirements, Process & Rules Management;Business Rules Management;Business Rules Translation to Execution;1332;Business Rules Translation to Execution function provides analysis and interpretation of business rules by functional systems to apply to process and drive execution.;2123
Integration Domain;Operations Readiness & Support;Business Requirements, Process & Rules Management;Business Process Management;Business Process Storage;1333;Business Process Storage function provides the means for storage and retrieval of business process definitions, including updates, versions, linkages, etc. This helps in the facilitation of the end to end management of the process design and promotes reuse.;2124
Integration Domain;Operations Readiness & Support;Business Requirements, Process & Rules Management;Business Process Management;Business Process Simulation;1334;Business Process Simulation function enables the testing and validation of the defined processes prior to deployment through process simulation. Errors, or trouble areas, are identified and solutions are recommended.;2125
Integration Domain;Operations Readiness & Support;API Implementation Management;API Implementation Information Management;API Implementation Metadata Management;1335;API Implementation Metadata Management function supports the definition, organization and retrieval of metadata about API Implementations (aka Software Services);2126
